0, 80, 72, 83, 0, 0
4, 3824, 2820, 708, 3, 2
8, 7173, 5267, 1001, 6, 3
12, 10509, 7701, 1243, 9, 4
16, 13823, 10113, 1511, 12, 5
20, 17222, 12578, 1794, 16, 6
24, 20606, 15016, 2061, 21, 7
28, 23602, 17164, 2254, 25, 7
32, 26907, 19567, 2471, 28, 8
36, 30190, 21980, 2733, 30, 9
40, 33106, 24112, 2938, 32, 9
44, 36028, 26250, 3146, 34, 9
48, 39283, 28635, 3413, 36, 10
52, 42480, 30994, 3664, 37, 11
56, 45327, 33121, 3916, 37, 11
60, 48565, 35521, 4239, 38, 12
64, 51522, 37694, 4460, 40, 12
68, 54381, 39801, 4649, 41, 12
72, 57239, 41907, 4853, 42, 12
76, 60158, 44042, 5082, 44, 12
80, 63127, 46195, 5292, 47, 12
84, 66425, 48623, 5625, 49, 13
88, 69407, 50789, 5831, 52, 13
92, 72386, 52952, 6024, 55, 13
96, 75306, 55088, 6218, 57, 13
100, 78290, 57256, 6453, 60, 13
104, 81594, 59658, 6738, 63, 14
108, 84477, 61757, 6966, 65, 14
112, 87391, 63887, 7158, 67, 14
116, 90309, 66021, 7346, 69, 14
120, 93167, 68127, 7562, 70, 14
124, 96408, 70530, 7848, 71, 15
128, 99181, 72583, 8045, 71, 15
132, 101988, 74670, 8265, 71, 15
136, 105557, 77347, 8646, 71, 17
140, 108357, 79427, 8841, 71, 17
144, 111226, 81544, 9062, 72, 17
148, 114155, 83689, 9286, 74, 17
152, 117359, 86055, 9558, 75, 18
156, 120229, 88173, 9752, 76, 18
160, 123433, 90539, 10014, 77, 19
164, 126264, 92618, 10205, 78, 19
168, 129037, 94671, 10388, 78, 19
172, 132184, 97012, 10651, 78, 20
176, 134966, 99074, 10811, 78, 20
180, 137895, 101219, 11095, 80, 20
184, 140746, 103318, 11286, 81, 20
188, 143527, 105379, 11486, 81, 20
192, 146772, 107786, 11778, 82, 21
196, 150034, 110210, 12078, 83, 22
200, 152903, 112327, 12268, 84, 22
204, 155791, 114463, 12479, 85, 22
208, 158978, 116844, 12766, 85, 23
212, 161863, 118977, 12950, 86, 23
216, 164674, 121068, 13164, 86, 23
220, 167539, 123181, 13357, 87, 23
224, 170397, 125287, 13604, 88, 23
228, 173582, 127666, 13878, 88, 24
232, 176413, 129745, 14112, 89, 24
236, 179225, 131805, 14263, 90, 24
240, 182052, 133880, 14431, 91, 24
244, 184870, 135946, 14563, 92, 24
248, 187742, 138066, 14762, 93, 24
252, 190660, 140200, 14984, 95, 24
256, 193523, 142279, 15155, 97, 24
260, 196460, 144400, 15351, 100, 24
264, 199286, 146474, 15622, 101, 24
268, 202197, 148601, 15885, 103, 24
272, 205190, 150746, 16132, 107, 24
276, 208239, 152947, 16370, 111, 24
280, 211160, 155084, 16599, 113, 24
284, 214077, 157217, 16811, 115, 24
288, 216997, 159353, 17012, 117, 24
292, 219857, 161461, 17240, 118, 24
296, 222717, 163569, 17553, 119, 24
300, 226343, 166271, 17977, 120, 26
304, 229226, 168402, 18286, 121, 26
308, 232460, 170798, 18600, 122, 27
312, 235714, 173182, 18941, 124, 28
316, 238989, 175619, 19310, 125, 29
320, 242267, 178027, 19630, 127, 30
324, 245168, 180144, 19889, 129, 30
328, 248064, 182256, 20092, 131, 30
332, 250898, 184338, 20281, 132, 30
336, 253729, 186417, 20484, 133, 30
340, 256509, 188477, 20744, 133, 30
344, 259335, 190551, 20982, 134, 30
348, 262528, 192906, 21266, 135, 31
352, 265447, 195041, 21522, 137, 31
356, 268430, 197208, 21796, 140, 31
360, 271357, 199351, 22040, 142, 31
364, 274285, 201495, 22304, 144, 31
368, 277272, 203666, 22506, 147, 31
372, 280238, 205816, 22784, 150, 31
376, 283186, 207980, 23095, 152, 31
380, 286111, 210121, 23346, 154, 31
384, 289396, 212536, 23645, 156, 32
388, 292293, 214649, 23894, 158, 32
392, 295184, 216756, 24120, 160, 32
396, 298112, 218900, 24387, 162, 32
400, 301068, 221072, 24685, 164, 32
404, 304076, 223252, 24934, 168, 32
408, 307458, 225720, 25271, 172, 33
412, 310371, 227849, 25559, 174, 33
416, 313387, 230049, 25830, 177, 33
420, 316350, 232196, 26074, 180, 33
424, 319361, 234359, 26258, 184, 33
428, 322357, 236539, 26496, 187, 33
432, 325363, 238729, 26806, 190, 33
436, 328225, 240839, 27064, 191, 33
440, 331230, 243028, 27353, 194, 33
444, 334124, 245158, 27661, 196, 33
448, 337136, 247342, 27932, 200, 33
452, 339987, 249429, 28133, 202, 33
456, 342931, 251589, 28394, 204, 33
460, 345867, 253741, 28631, 206, 33
464, 348800, 255890, 28805, 208, 33
468, 352134, 258342, 29130, 211, 34
472, 355006, 260462, 29418, 212, 34
476, 357889, 262593, 29711, 213, 34
480, 360820, 264740, 29919, 215, 34
484, 363739, 266875, 30208, 217, 34
488, 367089, 269323, 30580, 220, 35
492, 370704, 272046, 31075, 220, 37
496, 373682, 274208, 31356, 223, 37
500, 376603, 276377, 31662, 224, 37
504, 379923, 278827, 32062, 226, 38
508, 383160, 281226, 32406, 227, 39
512, 386341, 283569, 32690, 228, 40
516, 389342, 285754, 33009, 231, 40
520, 392359, 287923, 33246, 235, 40
524, 395328, 290076, 33503, 238, 40
528, 398286, 292218, 33705, 241, 40
532, 401265, 294381, 33953, 244, 40
536, 404223, 296523, 34167, 247, 40
540, 407187, 298671, 34379, 250, 40
544, 410146, 300814, 34580, 253, 40
548, 413125, 302977, 34796, 256, 40
552, 416024, 305092, 35008, 258, 40
556, 419287, 307485, 35333, 260, 41
560, 422236, 309618, 35646, 263, 41
564, 425218, 311784, 35856, 266, 41
568, 428189, 313927, 36097, 270, 41
572, 431171, 316093, 36293, 273, 41
576, 434124, 318230, 36530, 276, 41
580, 437077, 320367, 36677, 279, 41
584, 440043, 322517, 36882, 282, 41
588, 443009, 324667, 37066, 285, 41
592, 445966, 326808, 37265, 288, 41
596, 449432, 329328, 37596, 293, 42
600, 452482, 331518, 37797, 298, 42
604, 455859, 333993, 38131, 301, 43
608, 458823, 336141, 38349, 304, 43
612, 461825, 338327, 38559, 307, 43
616, 464779, 340465, 38752, 310, 43
620, 467725, 342595, 39026, 313, 43
624, 470723, 344777, 39249, 316, 43
628, 474056, 347208, 39548, 319, 44
632, 477022, 349358, 39819, 322, 44
636, 480000, 351520, 40003, 325, 44
640, 482983, 353687, 40291, 328, 44
644, 485962, 355850, 40555, 331, 44
648, 488978, 358018, 40806, 335, 44
652, 491977, 360201, 41080, 338, 44
656, 494949, 362357, 41299, 341, 44
660, 497982, 364542, 41549, 345, 44
664, 500876, 366684, 41852, 346, 44
668, 504197, 369135, 42146, 348, 45
672, 507135, 371289, 42384, 350, 45
676, 510052, 373422, 42577, 352, 45
680, 512981, 375567, 42788, 354, 45
684, 515904, 377706, 43003, 356, 45
688, 518823, 379841, 43239, 358, 45
692, 521809, 382011, 43508, 361, 45
696, 524731, 384149, 43824, 363, 45
700, 527748, 386350, 44061, 366, 45
704, 531122, 388790, 44382, 370, 46
708, 534099, 390951, 44690, 373, 46
712, 537131, 393135, 44938, 377, 46
716, 540105, 395293, 45156, 380, 46
720, 543135, 397475, 45383, 384, 46
724, 546055, 399611, 45619, 386, 46
728, 549029, 401769, 45841, 389, 46
732, 552005, 403929, 46077, 392, 46
736, 554889, 406029, 46336, 394, 46
740, 557723, 408111, 46557, 395, 46
744, 561068, 410554, 46892, 398, 47
748, 564071, 412729, 47182, 402, 47
752, 567044, 414886, 47450, 405, 47
756, 570025, 417051, 47659, 408, 47
760, 572999, 419209, 47866, 411, 47
764, 575875, 421301, 48096, 413, 47
768, 578787, 423429, 48313, 415, 47
772, 582019, 425823, 48655, 416, 48
776, 584895, 427947, 48928, 417, 48
780, 587772, 430072, 49087, 418, 48
784, 590631, 432179, 49319, 419, 48
788, 593487, 434283, 49578, 420, 48
792, 596395, 436407, 49774, 422, 48
